Peruvian	0.001701031	0.9098454	145
Portuguese	0.001701031	0.9115464	146
Puerto Rican	0.001701031	0.91324747	147
Qatari	0.001701031	0.91494846	148
Romanian	0.001701031	0.9166495	149
Russian	0.001701031	0.9183505	150
Rwandan	0.001701031	0.9200516	151
Salvadoran	0.001701031	0.9217526	152
Saudi	0.001701031	0.9234536	153
Scot	0.001701031	0.9251547	154
Scottish	0.001701031	0.9268557	155
Senegalese	0.001701031	0.9285567	156
Serb	0.001701031	0.9302578	157
Sierra Leonean	0.001701031	0.9319588	158
Singaporean	0.001701031	0.9336598	159
Sinhalese	0.001701031	0.93536085	160
Slovak	0.001701031	0.9370619	161
Slovene	0.001701031	0.9387629	162
Somali	0.001701031	0.94046396	163
South African	0.001701031	0.942165	164
Spaniard	0.001701031	0.943866	165
Spanish	0.001701031	0.945567	166
Sri Lankan	0.001701031	0.94726807	167
Sudanese	0.001701031	0.9489691	168
Swahili	0.001701031	0.9506701	169
Swazi	0.001701031	0.9523711	170
Swede	0.001701031	0.95407224	171
Swedish	0.001701031	0.95577323	172
Swiss	0.001701031	0.95747423	173
Syrian	0.001701031	0.9591753	174
Taiwanese	0.001701031	0.96087635	175
Tajik	0.001701031	0.96257734	176
Tanzanian	0.001701031	0.9642784	177
Thai	0.001701031	0.9659794	178
Tibetan	0.001701031	0.96768045	179
Togolese	0.001701031	0.96938145	180
Tongan	0.001701031	0.9710825	181
Tunisian	0.001701031	0.97278357	182
Turk	0.001701031	0.97448456	183
Turkish	0.001701031	0.97618556	184
Turkmen	0.001701031	0.9778867	185
Tuvaluan	0.001701031	0.9795877	186
Ugandan	0.001701031	0.9812887	187
Ukrainian	0.001701031	0.9829897	188
Urdu	0.001701031	0.9846908	189
Uruguayan	0.001701031	0.9863918	190
Uzbek	0.001701031	0.9880928	191
Venezuelan	0.001701031	0.98979384	192
Vietnamese	0.001701031	0.9914949	193
Welsh	0.001701031	0.9931959	194
Yemeni	0.001701031	0.99489695	195
Yiddish	0.001701031	0.996598	196
Zambian	0.001701031	0.998299	197
Zimbabwean	0.001701031	1.0	198
